genre,age_group,popularity,producer
Action,26-35,580,Manga
Action,26-35,2024,Game
Action,26-35,850,Manga
Action,26-35,1000,Manga
Action,26-35,1264,Manga
Action,26-35,1621,Manga
Action,26-35,1517,Manga
Action,26-35,943,Game
Action,26-35,1164,Manga
Comedy,26-35,2681,Original
Slice of Life,26-35,1785,4-koma manga
Action,26-35,556,Manga
Action,26-35,689,Manga
Action,26-35,795,Manga
Action,26-35,546,Manga
Action,36+,35,Manga
Slice of Life,36+,623,Manga
Action,36+,18,Manga
Comedy,36+,69,Manga
Music,36+,381,Manga
Comedy,36+,366,Manga
Action,36+,332,Light novel
Comedy,36+,473,Manga
Slice of Life,36+,13,Light novel
Music,36+,988,Manga
Comedy,36+,995,Manga
Slice of Life,36+,111,Manga
Action,36+,38,Original
Comedy,36+,500,Manga
Drama,36+,152,Manga
Comedy,36+,347,Manga
Action,36+,1008,Manga
Action,36+,48,Original
Action,36+,174,Manga
Comedy,36+,414,Manga
Action,36+,21,Manga
Action,36+,655,Manga
Comedy,36+,702,Manga
Action,36+,1590,Light novel
Action,36+,16,Manga
Action,36+,117,Original
Sci-Fi,36+,203,Original
Drama,36+,634,Novel
Comedy,36+,146,Manga
Military,36+,2134,Original
Adventure,36+,518,Manga
Comedy,36+,1710,Manga
Mystery,36+,419,Original
Action,36+,144,Light novel
Action,36+,82,Visual novel
Comedy,36+,607,Light novel
Slice of Life,36+,530,Other
Military,36+,327,Manga
Action,36+,273,Manga
Action,36+,560,Light novel
Adventure,36+,949,Light novel
Slice of Life,36+,1453,Manga
Game,36+,1331,Manga
Comedy,36+,68,Light novel
Mystery,36+,414,Manga
Action,36+,98,Manga
Action,36+,95,Manga
Mystery,36+,97,Visual novel
Comedy,36+,132,Novel
Action,36+,9,Original
Sci-Fi,36+,869,Manga
Slice of Life,36+,135,4-koma manga
Mystery,36+,251,Visual novel
Action,36+,24,Original
Action,36+,61,Original
Adventure,36+,902,Original
Slice of Life,36+,31,Visual novel
Action,36+,87,Light novel
Drama,36+,2440,Manga
Comedy,36+,351,Manga
Action,36+,22,Original
Sci-Fi,36+,705,Original
Comedy,36+,974,Manga
Action,36+,1655,Manga
Action,36+,23,Manga
Action,36+,2401,Manga
Slice of Life,36+,229,Manga
Action,36+,115,Light novel
Mystery,36+,548,Visual novel
Comedy,36+,713,Manga
Romance,36+,44,Light novel
Action,36+,4,Manga
Action,36+,156,Original
Action,36+,373,Visual novel
Comedy,36+,1167,Manga
Drama,36+,493,Original
Action,36+,244,Original
Action,36+,30,Light novel
Action,36+,438,Original
Action,36+,138,Manga
Slice of Life,36+,369,4-koma manga
